Name,Method
Legendary Kamuy,"Rare drop in The Minstrel's Ballad: Shinryu's Domain."
Logistics System,"Received from the Behind Enemy Lines I Achievement."
Lone Faehound,"In The Feast Rewards (Season 4), Top 100 Solo Ranking in a Datacenter."
Lone Hellhound,"In The Feast Rewards (Season 3), Top 100 Solo Ranking in a Datacenter."
Lunar Kamuy,"  Rare drop from The Minstrel's Ballad: Tsukuyomi's Pain."
Magicked Bed,"Can be crafted by Carpenter Recipe 80★"
Magicked Carpet,"Purchased from the Mog Station for EUR 16.80 or $24."
Magitek Armor,"Acquired after completing the Main Storyline."
Magitek Avenger,"Awarded from the achievement Die Another Day III."
Magitek Avenger A-1,"Complete ""Out of Hiding"" Achievement"
Magitek Conveyer,"In The Feast Rewards (Season 7), Top 100 Solo Ranking in a Datacenter."
Magitek Death Claw,"6x Achievement Certificate from Jonathas in New Gridania."
Magitek Predator,"Dropped by Zenos yae Galvus in the dungeon Ala Mhigo (Dungeon)."
Magitek Sky Armor,"Bought at PvP Merchant for 20,000 Wolf Marks."
Magna Roader,"The Feast Season 11 Reward"
Manacutter,"After completing the Main Scenario Quest Into the Aery."
Managarm,"8x Gold Chocobo Feathers, which are received from the Recruit a Friend Campaign."
Marid,"18x Ananta Dreamstaff from Madhura."
Markab,"Obtained after defeating Ramuh in The Striking Tree (Extreme)"
Maxima Roader,"Feast Season 12 Reward"
Midgardsormr,"After completing the Main Scenario Quest Fetters of Lament."
Mikoshi,"20 Namazu Koban from Gyosho"
Model O,"Raid reward for Alphascape V4.0 (Savage)"
Morbol,"Awarded from the achievement True Blue"
Mystic Panda,"Purchased from the Mog Station for EUR 16.80 or $24."
Nezha Chariot,"Purchased from the Mog Station for EUR 16.80 or $24."
Nightmare,"Summoned by Nightmare Whistle. Dropped by Garuda (Extreme), Titan (Extreme), and Ifrit (Extreme)."
Original Fat Chocobo,"Limited time promotional event with 7-11 (JP), Amazon (US) and GamesMaster (EU)"
Pack Faehound,"In The Feast Rewards (Season 4), Top 100 Party Ranking in a Datacenter."
Pack Hellhound,"In The Feast Rewards (Season 3), Top 100 Party Ranking in a Datacenter."
Parade Chocobo,"Leaving a Better Impression II"
Pegasus,"Purchased from Spoils Collector (The Pillars) for 99 Brass Sky Pirate Spoils."
Portly Porxie,"18x Fae Fancy from Jul Oul"
Prototype Conveyor,"In The Feast Rewards (Season 8), Top 100 Party Ranking in a Datacenter."
Raigo,"Furious Fatalities PvP Achievement"
Rathalos,"50x Rathalos Scale+"
Red Baron,"Purchased from the Mog Station for EUR 8.40 or $12."
Red Hare,"Purchased from the Mog Station for EUR 16.90 or $24."
Regalia Type-G,"Purchased for 200,000 MGP during the A Nocturne for Heroes Event"
Reveling Kamuy,"Rare drop from The Pool of Tribute (Extreme) (Susano Ex)."
Rose Lanner,"Rare drop from Thok ast Thok (Extreme)."
Round Lanner,"Rare drop from The Minstrel's Ballad: Thordan's Reign."
Sabotender Emperador,"Bought at Gold Saucer for 2,000,000 MGP"
Safeguard System,"Front and Center V PvP Achievement"
Sanuwa,"200,000 gil from Luna Vanu, at Rank 7 with the Vanu Vanu Beast Tribe."
SDS Fenrir,"Purchased from the Mog Station for EUR 20 or $29."
Serpent Warsteed,"Completion of the A Line in the Glade IV achievement. "
Shadow Gwiber,"Rare drop from The Minstrel's Ballad: Hades's Elegy"
Skyslipper,"Rare drop from Eden's Gate: Sepulture (Savage)"
Sleipnir,"Purchased from the Mog Station for EUR 16.90 or $24."
Sophic Lanner,"Dropped from Containment Bay P1T6 (Extreme)."
Storm Warsteed,"Completion of the A Line in the Storm IV achievement."
Starlight Bear,"Purchased from the Mog Station for EUR 8.40 or $12."
Striped Ray,"Bought from Shikitahe for 12x Kojin Sango. Bloodsworn Rep required."
Sunspun Cumulus,"Purchased from Mog Station for EUR 8.40 or $12."
Syldra,"Purchase Stormblood Collector's Edition."
Triceratops,"Completion of the Nuts for Nutsy achievement."
True Griffin,"18x Ananta Dreamstaff from Madhura"
Twintania,"15x Gold Chocobo Feathers, which are received from the Recruit a Friend Campaign."
Typhon,"Bought at the Gold Saucer for 750,000 MGP"
Tyrannosaur,"The Forbidden Land, Eureka Anemos"
Ufiti,"Purchased from Enie in The Firmament for 8,400 Skybuilders' Scrips"
Unicorn,"Unicorn can be acquired when you level Conjurer to 30 and complete the quest Unicorn Power."
War Panther,"Completion of the But Somebody's Gotta Do It (Dark Knight) achievement."
War Tiger,"Completion of the Tank you Gunbreaker II achievement."
Warbear,"Completion of the But Somebody's Gotta Do It (Warrior) achievement."
Warlion,"Completion of the But Somebody's Gotta Do It (Paladin) achievement."
Warring Lanner,"Rare drop from Containment Bay S1T7 (Extreme)."
Whisper A-go-go,"Acquiring all 13 Yo-kai Weapons from the Yo-kai Watch: Gather One, Gather All! Seasonal Event."
Whisper-go,"Acquiring all 13 Yo-kai Minions from the Yo-kai Watch: Gather One, Gather All! Seasonal Event."
White Devil,"Purchased from the Mog Station for EUR 8.40 or $12."
White Lanner,"Rare drop from The Limitless Blue (Extreme)."
Witch's Broom,"Purchased from the Mog Station for EUR 8.40 or $12."
Wyvern,"Sold for 6 Clan Mark Logs from Bertana."
Xanthos,"Dropped by Garuda in The Howling Eye (Extreme)."
Yol,"In the Footsteps of Bardam the Brave Stormblood Main Scenario Quest"
Zu,"Purchased from Resident Caretaker for 1 Iron Voyage Spoil."
