Group,Name,Points,Description,Reward
Machinist,"I'm a Machinist, Not a Man I",5,"Complete the machinist job quest ""The Power of a Tourney."""
Machinist,"I'm a Machinist, Not a Man II",5,"Complete the machinist job quest ""Rise of the Machinists.""",Title: Liberator
Machinist,"I'm a Machinist, Not a Man III",5,"Complete the machinist job quest ""The Mongrel and the Knight.""",Title: The Howling
Machinist,"I'm a Machinist, Not a Man IV",5,"Complete the machinist job quest ""Machinists for the Morrow.""",Title: The Shot Heard Across Worlds
Astrologian,The Stars in Our Faults I,5,"Complete the astrologian job quest ""Spearheading Initiatives."""
Astrologian,The Stars in Our Faults II,5,"Complete the astrologian job quest ""The Hands of Fate.""",Title: Stargazer
Astrologian,The Stars in Our Faults III,5,"Complete the astrologian job quest ""Foxfire.""",Title: Of the Eastern Skies
Astrologian,The Stars in Our Faults IV,5,"Complete the astrologian job quest ""Love, Astrologically.""",Title: Distant Stargazer
Samurai,SAM I Am I,5,"Complete the samurai job quest ""The Face of True Evil."""
Samurai,SAM I Am II,5,"Complete the samurai job quest ""The Battle on Bekko.""",Title: Muso
Samurai,SAM I Am III,5,"Complete the samurai job quest ""The Legend of Musosai.""",Title: Samurai in a Strange Land
Red Mage,Red On Arrival I,5,"Complete the red mage job quest ""Stained in Scarlet."""
Red Mage,Red On Arrival II,5,"Complete the red mage job quest ""With Heart and Steel.""",Title: The Red
Red Mage,Red On Arrival III,5,"Complete the red mage job quest ""The Succession of Steel.""",Title: Dualistic Duelist
Gunbreaker,Gunnhildr's Blade I,5,"Complete the gunbreaker job quest ""Steel against Steel.""",Title: Sworn Protector
Gunbreaker,Gunnhildr's Blade II,5,"Complete the gunbreaker job quest ""Gunblades of the Patriots.""",Title: Wandering Vanguard
Dancer,No Friends of Mine I,5,"Complete the dancer job quest ""Save the Lance Dance for Me.""",Title: The Heart's Beat
Dancer,No Friends of Mine II,5,"Complete the dancer job quest ""Rising to the Occasion.""",Title: Riftdancer
Role Quests,Speaker for the Righteous,5,"Complete the role quest ""To Have Loved and Lost."""
Role Quests,Speaker for the Honorable,5,"Complete the role quest ""The Soul of Temperance."""
Role Quests,Speaker for the Brave,5,"Complete the role quest ""Courage Born of Fear."
Role Quests,Speaker for the Wise,5,"Complete the role quest ""A Tearful Reunion."""
Sidequess,A Watched Pot,10,"Complete the quest ""Kettle to the Mettle.""",Title: Carrier of the Kettle
MSQ,Leaving Limsa Lominsa,5,"Complete the main scenario quest ""The Lominsan Envoy."""
MSQ,Gone from Gridania,5,"Complete the main scenario quest ""The Gridanian Envoy."""
MSQ,Out of Ul'dah,5,"Complete the main scenario quest ""The Ul'dahn Envoy."""
Sidequests,The New King on the Block,10,"Complete the quest ""The New King on the Block.""",Title: Monster Hunter
Sidequests,Live to Serve,10,"Complete the quest ""In Bad Taste.""",Title: Lord/Lady of the Fetch
Sidequests,What is it Good For,20,"Complete the quest ""The Face of War."""
Role Quests,Tales to Be Told,10,"Complete the quest ""Shadow Walk with Me.""",Title: Living Memory
Crystalline Mean,Precious Metals,5,"Complete the quest ""The Iron Bellows.""",Title: Otherworld Smith
Crystalline Mean,Thank You for the Music,5,"Complete the quest ""The Notes of Bond Restoring.""",Title: Otherworld Artisan
Crystalline Mean,Amaro Whisperer,5,"Complete the quest ""Healing Old Wounds.""",Title: Otherworld Apothecary
Crystalline Mean,The Lost World,5,"Complete the quest ""The Myth Takes Form.""",Title: Otherworld Seeker
Crystalline Mean,Live Long and Prospero,5,"Complete the quest ""Morsel of the Deep.""",Title: Otherworld Angler
Crystalline Mean,The Golden Mean,10,"Complete the quest ""For Every Child a Star.""",Title: The Multifaceted
