Tribe,Level,Name,Rank
Sahagin,48,An Enthralling Engagement,Friendly
Sahagin,48,Plunder Fire,Friendly
Sahagin,48,Reaving in a Hurry,Friendly
Sahagin,48,Removing the Stain,Friendly
Sahagin,48,Sea Scraps,Friendly
Sahagin,48,Shellfish Schemes,Friendly
Sahagin,48,The Tail's the Best Part,Friendly
Sahagin,48,Tines of the Trident,Friendly
Sahagin,48,Unfair Trading,Friendly
Sahagin,48,Up in Shhhmoke,Friendly
Sahagin,48,"Like Clutchfather, Like Son",Trusted
Sylph,42,Seeking Solace,Neutral
Sylph,42,Voyce of Concern,Neutral
Sylph,42,Deck the Hut,Neutral
Sylph,42,Feed Me,Neutral
Sylph,42,Giddy for Goobbues,Neutral
Sylph,42,Gourd Grief,Neutral
Sylph,42,Imperial Intruders,Neutral
Sylph,42,Malodorous Mischief,Neutral
Sylph,42,Not Who They Seem,Neutral
Sylph,42,Now You See Me,Neutral
Sylph,42,Raising a Stink,Neutral
Sylph,42,The Magitek Menace,Neutral
Sylph,45,Pilfered Podlings,Recognized
Sylph,45,Fungal Foulness,Recognized
Sylph,45,I Dream of Slimy,Recognized
Sylph,45,"In the Sylphlands, Treasure Hunts You",Recognized
Sylph,45,Milkroot in Moderation,Recognized
Sylph,45,Mushroom Madness,Recognized
Sylph,45,Perilous Pumpkins,Recognized
Sylph,45,Shocking Developments,Recognized
Sylph,45,Something to Sneeze At,Recognized
Sylph,45,Waterbringer,Recognized
Sylph,45,With One Stone,Recognized
Sylph,48,Idle Hands,Friendly
Sylph,48,A Sticky Situation,Friendly
Sylph,48,Bane of the Barbs,Friendly
Sylph,48,Boar Wars,Friendly
Sylph,48,Clearing the Air,Friendly
Sylph,48,Mist Opportunities,Friendly
Sylph,48,Moxia's Magnum Opus,Friendly
Sylph,48,No Root for You,Friendly
Sylph,48,Podling Peril,Friendly
Sylph,48,Ripe for the Picking,Friendly
Sylph,48,Sympathy for the Sentinel,Friendly
Sylph,48,Feathers and Folly,Trusted
Allied (A Realm Reborn),50,Call of the Wild (Immortal Flames),Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Call of the Wild (Maelstrom),Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Call of the Wild (Twin Adder),Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Little Sylphs Lost,Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Clutching at Straws,Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Digging for Answers,Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Rattled in Ehcatl,Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Ash Not What Your Brotherhood Can Do for You,Sworn (All A Realm Reborn Tribes)
Allied (A Realm Reborn),50,Friends Forever,Sworn (All A Realm Reborn Tribes)
Moogle,50,Tricks and Stones,Neutral
Moogle,50,Hasty Conclusions,Neutral
Moogle,50,A Fundamentally Important Task,Neutral
Moogle,50,Deep into the Weeds,Neutral
Moogle,50,With a Little Help,Neutral
Moogle,50,A Stone's Throw Away,Neutral
Moogle,50,The Milk of Moogle Kindness,Recognized
Moogle,50,Moogle on the Wall,Recognized
Moogle,50,Kupo for Kupo Nuts,Recognized
Moogle,50,Work that Mallow,Recognized
Moogle,50,A Little Pick-Me-Up,Recognized
Moogle,50,Stumbling Blocks,Recognized
Moogle,50,Trying Times,Friendly
Moogle,50,A Fine Finish,Friendly
Moogle,50,The Mining Mishap,Friendly
Moogle,50,Tricks Without Treats,Friendly
Moogle,50,A Revivifying Roar,Friendly
Moogle,50,For Moogles in Peril,Friendly
Moogle,50,A Crystalline Solution,Trusted
Moogle,50,The Negotiator,Trusted
Moogle,50,Back to the Drawing Board,Trusted
Moogle,50,Built to Last,Trusted
Moogle,50,Let There Be Light,Trusted
Moogle,50,Tremble Finishing,Trusted
Moogle,50,The Tools Make The Moogle,Respected
Moogle,50,Journey of a Thousand Hews,Respected
Moogle,50,Ship of Dreams,Respected
Moogle,50,Stirring by Sternutation,Respected
Moogle,50,Rare Refreshments,Respected
Moogle,50,From Lax to Max,Respected
Moogle,50,A Monumental Task,Honored
Moogle,50,Dragon Draff for Their Behalf,Honored
Moogle,50,A Fish for His Favors,Honored
Moogle,50,An Ishgardian Treat,Honored
Moogle,50,Mine and Craft,Honored
Moogle,50,The Moogle Motivator,Honored
Moogle,50,Piecing Together the Past,Sworn
Moogle,50,The Zenith of Craftsmanship,Sworn
Vanu Vanu,50,Three Beaks to the Wind,Neutral
Vanu Vanu,50,Endymion Disco,Neutral
Vanu Vanu,50,Hard-boiled Hustle,Neutral
Vanu Vanu,50,Pussyfooting About,Neutral
Vanu Vanu,50,Sanuwa Samba,Neutral
Vanu Vanu,50,"Veni, Vundu, Vici",Neutral
Vanu Vanu,50,Water Crystal Waltz,Neutral
Vanu Vanu,50,A Tribal Reunion,Recognized
Vanu Vanu,50,Bird Watching,Recognized
Vanu Vanu,50,Chigoe Cha-Cha,Recognized
Vanu Vanu,50,Comb and Get It,Recognized
Vanu Vanu,50,Pilfering Pots from the Pantry,Recognized
Vanu Vanu,50,The Binding Soil,Recognized
Vanu Vanu,50,Linu's Lovely Bones,Friendly
Vanu Vanu,50,A Bone to Pick,Friendly
Vanu Vanu,50,A Hut to Dye For,Friendly
Vanu Vanu,50,Fishing in Troubled Waters,Friendly
Vanu Vanu,50,Flight of the Midges,Friendly
Vanu Vanu,50,Reeling in the Vundu,Friendly
Vanu Vanu,50,The House That Ginu Built,Friendly
Vanu Vanu,50,In the Skycage over the Sea,Trusted
Vanu Vanu,50,Gaelicat's Out of the Bag,Trusted
Vanu Vanu,50,Nailed Down,Trusted
Vanu Vanu,50,Pestered Ancestors,Trusted
Vanu Vanu,50,Shady Premonitions,Trusted
Vanu Vanu,50,"Smooth as Silk, Cool as Air",Trusted
Vanu Vanu,50,Fishing for Friendship,Respected
Vanu Vanu,50,Easy as Paissa,Respected
Vanu Vanu,50,Gastornis Groove,Respected
Vanu Vanu,50,Rotten to the Korrigan,Respected
Vanu Vanu,50,The Cat's Meow,Respected
Vanu Vanu,50,Sundrop the Beat,Honored
Vanu Vanu,50,Dance Commander,Honored
Vanu Vanu,50,Electric Gunduloo,Honored
Vanu Vanu,50,"Vanish, Vile Vundu",Honored
Vanu Vanu,50,Wildwort and Sundrop,Honored
Vanu Vanu,50,Nest Side Story,Sworn
Vanu Vanu,50,The Nest of Honor,Sworn
Vath,50,The Naming of Vath,Friendly
Vath,50,Breath of Fresh Air,Friendly
Vath,50,Bugging the Bugs,Friendly
Vath,50,Getting the Shaft,Friendly
Vath,50,The Foodstuff of Champions,Friendly
Vath,50,Too Much to Bear,Friendly
Vath,50,Adventurers Don't Get Cold Feet,Trusted
Vath,50,A Long Shot,Trusted
Vath,50,At Full Pelt,Trusted
Vath,50,Ploughing Ahead,Trusted
Vath,50,The Caelumtree Wine Spree,Trusted
Vath,50,Where the Silver Dew Grows,Trusted
Vath,50,An Acquired Taste,Respected
Vath,50,All About the Eggs,Respected
Vath,50,Failure to Deliver,Respected
Vath,50,"Shoo Fly, Don't Bother Me",Respected
Vath,50,Smells Like Trouble,Respected
Vath,50,When Hunting Goes Wrong,Respected
Vath,50,Your Enemy and Mine,Honored
Vath,50,A Romp Around the Foothills,Honored
Vath,50,Fifty Shades of Yellow,Honored
Vath,50,Flea Troubles,Honored
Vath,50,Neighborhood Squabbles,Honored
Vath,50,Not for the Faint of Heart,Honored
Vath,50,Resistance Is Futile,Sworn
Vath,50,A Symbiotic Friendship,Bloodsworn
Allied (Heavensward),60,When Good Dragons Go Bad,Sworn (All Heavensward Tribes)
Allied (Heavensward),60,Who Was That Masked Man,Sworn (All Heavensward Tribes)
Allied (Heavensward),60,Lift Me to the Moon,Sworn (All Heavensward Tribes)
Allied (Heavensward),60,"Eternity, Loyalty, Honesty",Sworn (All Heavensward Tribes)
Ananta,60,Brooding Broodmother,Friendly
Ananta,60,Have I Got News for You,Friendly
Ananta,60,A Real Fixer-upper,Friendly
Ananta,60,A Bit of Home Cooking,Friendly
Ananta,60,A Sluggish Endeavor,Friendly
Ananta,60,Deep-rooted Problems,Friendly
Ananta,60,Beating the Heat,Friendly
Ananta,60,Out for Delivery,Friendly
Ananta,60,Snack between Meals,Friendly
Ananta,60,Griffins Rampant,Trusted
Ananta,60,A Signal for the Senses,Trusted
Ananta,60,Criminal Crossings,Trusted
Ananta,60,When Feathers Fly,Trusted
Ananta,60,Bhoot Camps,Trusted
Ananta,60,Sparring Lesson,Trusted
Ananta,60,Funnel and Games,Trusted
Ananta,60,A Swarm Welcome,Trusted
Ananta,60,Keeping an Eye off Things,Trusted
Ananta,60,Chance of Gales,Respected
Ananta,60,The Very Hungry Marid,Respected
Ananta,60,The Antlion's Share,Respected
Ananta,60,Hearts of Precious Stone,Respected
Ananta,60,Ants in the Pants,Respected
Ananta,60,Up Sheet Creek,Respected
Ananta,60,Let There Be Lard,Respected
Ananta,60,It Can Be Cruel Sometimes,Honored
Ananta,60,Thin-skinned,Honored
Ananta,60,A Delicate Operation,Honored
Ananta,60,A Business Proposal,Honored
Ananta,60,"For Fast, Temporary Relief",Honored
Ananta,60,Soothing the Sting,Honored
Ananta,60,Catching and Fletching,Honored
Ananta,60,Schism Between Sisters,Sworn
Ananta,60,Celebratory Smorgasbord,Bloodsworn
Kojin,60,Heaven-sent,Friendly
Kojin,60,Best Served Foul,Friendly
Kojin,60,A Real Pearler,Friendly
Kojin,60,You Have the Rite,Friendly
Kojin,60,Krilled to Pieces,Friendly
Kojin,60,Tonight We Dine in Shells,Friendly
Kojin,60,Pickles of Partnership,Friendly
Kojin,60,Under Wraps,Trusted
Kojin,60,Little Kojin Lost,Trusted
Kojin,60,Much at Steak,Trusted
Kojin,60,Confused Courier,Trusted
Kojin,60,Buoyant Bounty,Trusted
Kojin,60,Anala-lyze This,Trusted
Kojin,60,Sand-sifting Specialist,Trusted
Kojin,60,The Value of Silence,Respected
Kojin,60,Forever Blowing Bubbles,Respected
Kojin,60,"No, Not the Boo Box",Respected
Kojin,60,Pleasure Doing Business,Respected
Kojin,60,Deep Turquoise Sea,Respected
Kojin,60,Holy Mother of Pearl,Respected
Kojin,60,Flotsam and Jetsam,Respected
Kojin,60,Misdelivered,Honored
Kojin,60,Clammed Up,Honored
Kojin,60,Tale of Roe,Honored
Kojin,60,You Blow It Up,Honored
Kojin,60,Tentacles of Trade,Honored
Kojin,60,The Hot-blooded Kojin,Honored
Kojin,60,Disciplinary Action,Honored
Kojin,60,A Test of Courage,Sworn
Kojin,60,True-blue,Bloodsworn
Namazu,60,Something Fishy This Way Comes,Friendly
Namazu,60,One Size Fits All,Friendly
Namazu,60,"The Importance of Being Yes, Yes",Friendly
Namazu,60,Pilgrim's Regress,Friendly
Namazu,60,Unidentified Festive Objects,Friendly
Namazu,60,Carry That Crate,Friendly
Namazu,60,Simpler Gifts,Friendly
Namazu,60,Free for Most,Friendly
Namazu,60,"Big, Big Fish",Trusted
Namazu,60,Catching Catfish,Trusted
Namazu,60,Wood You Believe It,Trusted
Namazu,60,Local Special Tea,Trusted
Namazu,60,Surprise Offerings,Trusted
Namazu,60,Ghosts of Honor,Trusted
Namazu,60,Great Buuz Up,Trusted
Namazu,60,Waiting for Gyodo,Respected
Namazu,60,Collision of Cultures,Respected
Namazu,60,Carving a Niche,Respected
Namazu,60,In Steep Trouble,Respected
Namazu,60,Beat of the Drum,Respected
Namazu,60,Ready the Confetti,Respected
Namazu,60,Bearers Wanted,Respected
Namazu,60,Roasting a New Dish,Respected
Namazu,60,Out of the Frypan,Honored
Namazu,60,Cannot Say Neigh,Honored
Namazu,60,Bull's-eye,Honored
Namazu,60,A Favor Repaid,Honored
Namazu,60,A Stable's Condition,Honored
Namazu,60,A Welcome Surprise,Honored
Namazu,60,Overcommitment,Honored
Namazu,60,Into the Fire,Sworn
Namazu,60,Give Till It Hurts,Sworn
Namazu,60,Taking the Plunge,Sworn
Namazu,60,The Deadliest Sport,Sworn
Namazu,60,Disciples of Creation,Bloodsworn
Allied (Stormblood),70,The Ananta Maid's Tail,Sworn (All Stormblood Tribes)
Allied (Stormblood),70,Ruby Seas under Ruby Skies,Sworn (All Stormblood Tribes)
Allied (Stormblood),70,Fish in a Barrel,Sworn (All Stormblood Tribes)
Allied (Stormblood),70,What a Wonder-full World,Sworn (All Stormblood Tribes)
Pixie,70,Manic Pixie Dream Realm,Friendly
Pixie,70,"Where There's Wool, There's a Way",Friendly
Pixie,70,A Flowery Frolick,Friendly
Pixie,70,Sharing Is Caring,Friendly
Pixie,70,The Aesthetician of Il Mheg,Friendly
Pixie,70,Sweet as Honey,Friendly
Pixie,70,I Dream of Shinies,Friendly
Pixie,70,The Wonder of Witchweed,Friendly
Pixie,70,Sustenance for the Soul,Trusted
Pixie,70,Of Marvelous Mallow,Trusted
Pixie,70,The Moss Fungus Menace,Trusted
Pixie,70,Porxine Perfection,Trusted
Pixie,70,The Big Sleep,Trusted
Pixie,70,Best of Boat Worlds,Trusted
Pixie,70,Amazing Graze,Trusted
Pixie,70,Pure Imagination,Trusted
Pixie,70,The Heart's Oasis,Respected
Pixie,70,Raiders of the Lost Pork,Respected
Pixie,70,Pebble without a Cause,Respected
Pixie,70,There's Always a Stupider Fish,Respected
Pixie,70,Bring Your Water to the Slaughter,Respected
Pixie,70,Not the Beavers,Respected
Pixie,70,The Once and Future Marchioness,Respected
Pixie,70,No Accounting for Taste,Respected
Pixie,70,A Cry from the Ashes,Honored
Pixie,70,What the Phooka,Honored
Pixie,70,No Grown-ups Allowed,Honored
Pixie,70,Pride-and-Seek,Honored
Pixie,70,A Porxie Before Swine,Honored
Pixie,70,Snot My Problem,Honored
Pixie,70,Aim High,Honored
Pixie,70,The Chaser,Honored
Pixie,70,As the Heart Bids,Sworn
Pixie,70,Forever and a Dream,Bloodsworn
