Name,Zone,Location
Gibrillont,Ishgard,"Foundation (12,11)"
Hab,Southern Thanalan,"Sagolii Desert (24,40)"
Hachinan,Yanxia,"The House of the Fierce (26.4,12.9)"
Indolent Imperial,Mor Dhona,"Mor Dhona (11,17)"
Laniaitte,The Sea of Clouds,"Cloudtop (16,37)"
Masatsuchi,Yanxia,"Namai (29.5,20.2)"
Master Mogzin,The Churning Mists,"Idyllshire (15.6,28.8)"
Ogodei,The Azim Steppe,"The Dawn Throne (22,20.7)"
Ourdilic,Coerthas Central Highlands,"Whitebrim (6,22)"
Rowena,Mor Dhona,"Fogfens (21,5)"
Sezul Totoloc,North Shroud,"Peacegarden (24,23)"
Tapklix,The Dravanian Hinterlands,"The Collectors' Quarter (21,18)"
Tataru,Coerthas Central Highlands,"Coerthas Central Highlands (26,17)"
Vath Deftarm,The Dravanian Forelands,"Various"
Wawalago,Limsa Lominsa,"Limsa Lominsa Lower Decks (8,15)"
Buscarron,South Shroud,"Upper Paths (18,19)"
Flichoirel the Lordling,Triple Triad Battlehall,"Battlehall (3.7,3.7)"
Grewenn,Norvrandt,"Eulmore (12.5, 9.9)"
Imperial Deserter (The Lochs),The Lochs,"The Lochs (32.8,30.1)"
Ironworks Hand,Rhalgr's Reach,"The Yarn (30.7, 31.8)"
King Elmer III,The Gold Saucer,"Card Square (3,7)"
Marcette,Central Shroud,"Sorrel Haven (16,18)"
Midnight Dew,The Dravanian Hinterlands,"Idyllshire (6,7)"
Mogmill,The Churning Mists,"Sohm Al Summit (28,35)"
Munglig,The Azim Steppe,"Dotharl Khaa"
Nigen,The Azim Steppe,"The Azim Steppe (31.9,11.5)"
R'ashaht Rhiki,Limsa Lominsa,"Limsa Lominsa Lower Decks (13,12)"
Ruhtwyda of the Three Hearts,The Gold Saucer,"Card Square (3,7)"
Umber Torrent,The Lochs,"The Saltery"
Voracious Vath,Dravanian Forelands,"The Smoldering Wastes (23,19)"
Gegeruju,Eastern La Noscea,"Bloodshore (35,30)"
Kikimo,The Ruby Sea,"Sakazuki (32.9,37.5)"
Kiuka,Doman Enclave,"Doman Enclave (5.5,4.5)"
Klynthota,Mor Dhona,"North Silvertear (30,13)"
Marielle,The Sea of Clouds,"Cloudtop (15,37)"
Vorsaile Heuloix,Gridania,"New Gridania (9,11)"
Elaisse,Ishgard,"The Pillars (7,10)"
Hall Overseer,Triple Triad Battlehall,"Battlehall (3.5,3.5)"
Lewena,The Gold Saucer,"Entrance Square (4,6)"
Isobe,The Ruby Sea,"Sui-no-Sato (20.2,19.5)"
