Custom Deliveries,Satisfaction Guaranteed: Adkiragh IV,5,Achieve a satisfaction level of 4 with Adkiragh.
Custom Deliveries,Satisfaction Guaranteed: Adkiragh V,5,Achieve a satisfaction level of 5 with Adkiragh.,Title: Little Piggie
Custom Deliveries,Satisfaction Guaranteed: Kai-Shirr I,5,Achieve a satisfaction level of 1 with Kai-Shirr.
Custom Deliveries,Satisfaction Guaranteed: Kai-Shirr II,5,Achieve a satisfaction level of 2 with Kai-Shirr.
Custom Deliveries,Satisfaction Guaranteed: Kai-Shirr III,5,Achieve a satisfaction level of 3 with Kai-Shirr.
Custom Deliveries,Satisfaction Guaranteed: Kai-Shirr IV,5,Achieve a satisfaction level of 4 with Kai-Shirr.
Custom Deliveries,Satisfaction Guaranteed: Kai-Shirr V,10,Achieve a satisfaction level of 5 with Kai-Shirr.,Title: Kai-Shirr's Best Mate
Wondrous Tails,And Khloe Was Her Name-o I,5,Successfully complete a series of Wondrous Tails.
Wondrous Tails,And Khloe Was Her Name-o II,5,Successfully complete 5 series of Wondrous Tails.,Title: Khloe's Friend
Wondrous Tails,And Khloe Was Her Name-o III,5,Successfully complete 10 series of Wondrous Tails.
Wondrous Tails,And Khloe Was Her Name-o IV,5,Successfully complete 20 series of Wondrous Tails.
Wondrous Tails,And Khloe Was Her Name-o V,5,Successfully complete 30 series of Wondrous Tails.
Wondrous Tails,And Khloe Was Her Name-o VI,5,Successfully complete 40 series of Wondrous Tails.
Wondrous Tails,And Khloe Was Her Name-o VII,10,Successfully complete 50 series of Wondrous Tails.,Title: Khloe's Best Friend
